DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Alexandria LA,1018,0.02,28,0.01,20
Dothan,997,0.02,25,0.02,25
Lake Charles,944,0.02,35,0.02,32
St. Joseph,869,0.02,59,0.01,46
Helena,866,0.02,148,0.01,71
Zanesville,806,0.02,51,0.01,46
Juneau,738,0.02,103,0.02,87
San Angelo,578,0.01,37,0.01,40
Laredo,490,0.01,21,-,18
Meridian,454,-,27,-,20
Presque Isle,419,-,37,-,27
Greenwd-Greenvl,348,-,23,0.01,39
Victoria,259,-,26,-,19
Alpena,199,-,70,-,24
North Platte,185,-,48,-,45
Glendive,43,-,41,-,17
