DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Twin Falls,626,0.02,70,0.01,36
Jonesboro,622,0.02,31,0.01,19
Alexandria LA,608,0.02,28,0.01,23
Gr.Jnctn-Mntros,592,0.02,65,0.01,31
Lima,586,0.02,32,-,16
Bowling Green,577,0.02,33,0.01,19
Juneau,530,0.02,125,0.03,160
Yuma-El Centro,523,0.02,25,0.01,19
Dothan,487,0.02,20,-,10
Eureka,462,0.02,58,-,27
Great Falls,462,0.02,63,0.01,32
Chey-Sctts,438,0.01,52,-,21
Casper-Riverton,435,0.01,57,-,26
Mankato,411,0.01,50,-,19
Ottumwa-Kirksvl,375,0.01,33,-,15
Parkersburg,361,0.01,23,-,18
Fairbanks,303,0.01,45,-,21
Meridian,283,0.01,29,-,17
St. Joseph,278,0.01,30,-,21
Greenwd-Greenvl,256,-,29,-,21
Helena,254,-,68,-,20
Laredo,251,-,18,-,11
San Angelo,251,-,27,-,21
Victoria,227,-,38,-,24
Zanesville,213,-,21,-,15
Alpena,200,-,125,-,77
Presque Isle,186,-,27,-,16
North Platte,81,-,33,-,18
Glendive,18,-,23,-,18
