DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Casper-Riverton,561,0.02,86,0.01,45
Alexandria LA,556,0.02,30,0.02,30
Lake Charles,542,0.02,38,0.02,29
Juneau,542,0.02,147,0.02,98
Gr.Jnctn-Mntros,538,0.02,67,0.02,51
Parkersburg,536,0.02,40,0.02,48
Great Falls,483,0.02,75,0.02,58
Jackson TN,463,0.02,36,0.02,35
San Angelo,397,0.02,51,0.01,38
Meridian,395,0.02,47,0.02,65
Helena,388,0.02,124,0.01,57
Laredo,384,0.02,32,0.01,39
St. Joseph,322,0.01,41,0.01,42
Zanesville,259,0.01,30,0.01,39
Victoria,222,-,43,-,48
Greenwd-Greenvl,182,-,23,-,16
Presque Isle,138,-,22,-,23
North Platte,89,-,42,-,20
Alpena,86,-,55,-,17
Glendive,16,-,21,-,10
