DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Madison,40306,0.41,173,0.43,134
Rochester NY,39314,0.4,96,0.41,101
Syracuse,38675,0.39,116,0.41,107
Birmingham,37881,0.38,95,0.41,92
Memphis,37619,0.38,98,0.4,102
Wilkes Bar-Scr,36836,0.37,74,0.38,76
New Orleans,36720,0.37,96,0.39,95
Tucson (S Vsta),36392,0.37,144,0.4,130
Lexington,36143,0.36,84,0.41,105
Burlngtn-Pltbrg,36040,0.36,161,0.39,137
Cdr Rp-Wa-Ic&Db,35413,0.36,174,0.4,159
Spokane,33821,0.34,126,0.38,127
Honolulu,33254,0.34,85,0.38,95
Ft. Myers-Napls,33114,0.33,84,0.33,80
Roanoke-Lnchbrg,32392,0.33,127,0.35,127
Boise,32254,0.32,179,0.37,166
Knoxville,32184,0.32,121,0.34,107
Tulsa,31709,0.32,93,0.33,95
Dayton,31476,0.32,78,0.33,85
Green Bay-Apltn,31429,0.32,106,0.32,104
Litl Rck-Pn Blf,30763,0.31,85,0.33,93
Colo Sprngs-Pbl,29785,0.3,140,0.32,124
Wichta-Htch Pls,29552,0.3,121,0.33,116
Champgn&Spr-Dec,29476,0.3,122,0.32,119
Columbia SC,28515,0.29,92,0.31,103
Springfield MO,28226,0.28,108,0.3,117
Mobile-Pns(Fwb),27719,0.28,76,0.29,82
Johnstown-Altna,26599,0.27,134,0.3,126
Toledo,26441,0.27,70,0.28,80
Davnprt-Ri-Mlne,26290,0.26,132,0.28,133
